,0A,0B,1A,1B,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,5C,6A,6B,7,8
NonResidential,0.62,0.6,0.62,0.59,0.55,0.51,0.53,0.52,0.55,0.53,0.52,0.55,0.53,0.53,0.56,0.54,0.54,0.54,0.54
Residential,0.69,0.68,0.71,0.7,0.72,0.72,0.71,0.76,0.63,0.69,0.76,0.71,0.66,0.72,0.71,0.65,0.67,0.65,0.67
MidriseApartment,0.69,0.68,0.71,0.7,0.72,0.72,0.71,0.76,0.63,0.69,0.76,0.71,0.66,0.72,0.71,0.65,0.67,0.65,0.67
HighriseApartment,0.69,0.68,0.71,0.7,0.72,0.72,0.71,0.76,0.63,0.69,0.76,0.71,0.66,0.72,0.71,0.65,0.67,0.65,0.67
LargeOffice,0.54,0.54,0.53,0.52,0.52,0.52,0.5,0.54,0.48,0.48,0.53,0.48,0.49,0.52,0.48,0.48,0.49,0.46,0.48
MediumOffice,0.54,0.54,0.53,0.52,0.52,0.52,0.5,0.54,0.48,0.48,0.53,0.48,0.49,0.52,0.48,0.48,0.49,0.46,0.48
SmallOffice,0.54,0.54,0.53,0.52,0.52,0.52,0.5,0.54,0.48,0.48,0.53,0.48,0.49,0.52,0.48,0.48,0.49,0.46,0.48
Retail,0.51,0.49,0.48,0.48,0.44,0.43,0.43,0.43,0.44,0.42,0.43,0.46,0.43,0.42,0.47,0.43,0.43,0.41,0.44
StripMall,0.51,0.49,0.48,0.48,0.44,0.43,0.43,0.43,0.44,0.42,0.43,0.46,0.43,0.42,0.47,0.43,0.43,0.41,0.44
PrimarySchool,0.52,0.57,0.57,0.56,0.52,0.53,0.52,0.49,0.5,0.46,0.47,0.47,0.47,0.46,0.46,0.46,0.44,0.45,0.45
SecondarySchool,0.52,0.57,0.57,0.56,0.52,0.53,0.52,0.49,0.5,0.46,0.47,0.47,0.47,0.46,0.46,0.46,0.44,0.45,0.45
SmallHotel,0.66,0.66,0.69,0.65,0.65,0.64,0.64,0.65,0.65,0.63,0.65,0.63,0.62,0.63,0.62,0.61,0.62,0.59,0.58
LargeHotel,0.66,0.66,0.69,0.65,0.65,0.64,0.64,0.65,0.65,0.63,0.65,0.63,0.62,0.63,0.62,0.61,0.62,0.59,0.58
Hospital,0.69,0.69,0.7,0.68,0.67,0.65,0.65,0.66,0.64,0.64,0.66,0.63,0.67,0.65,0.65,0.66,0.67,0.68,0.7
Outpatient,0.69,0.69,0.7,0.68,0.67,0.65,0.65,0.66,0.64,0.64,0.66,0.63,0.67,0.65,0.65,0.66,0.67,0.68,0.7
Warehouse,0.26,0.26,0.22,0.25,0.21,0.22,0.25,0.21,0.19,0.25,0.22,0.22,0.28,0.24,0.22,0.31,0.28,0.29,0.32
SuperMarket,0.62,0.6,0.62,0.59,0.55,0.51,0.53,0.52,0.55,0.53,0.52,0.55,0.53,0.53,0.56,0.54,0.54,0.54,0.54
FullServiceRestaurant,0.62,0.59,0.57,0.57,0.57,0.53,0.57,0.53,0.51,0.55,0.54,0.54,0.57,0.56,0.55,0.59,0.58,0.61,0.64
QuickServiceRestaurant,0.62,0.59,0.57,0.57,0.57,0.53,0.57,0.53,0.51,0.55,0.54,0.54,0.57,0.56,0.55,0.59,0.58,0.61,0.64
Laboratory,0.62,0.6,0.62,0.59,0.55,0.51,0.53,0.52,0.55,0.53,0.52,0.55,0.53,0.53,0.56,0.54,0.54,0.54,0.54
Courthouse,0.62,0.6,0.62,0.59,0.55,0.51,0.53,0.52,0.55,0.53,0.52,0.55,0.53,0.53,0.56,0.54,0.54,0.54,0.54
